City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
186,Upernavik,GL,72.7868,-56.1549,-15.21,73,100,6.78,overcast clouds
187,Pangody,RU,65.85,74.4859,-18.4,100,100,5.35,overcast clouds
188,Son Tay,VN,21.1378,105.505,53.53,75,100,3.13,overcast clouds
189,Nara,JP,34.6851,135.8049,36.25,62,28,6.2,scattered clouds
190,Bengkulu,ID,-3.8004,102.2655,73.81,85,100,5.91,overcast clouds
191,Luderitz,NA,-26.6481,15.1594,64.96,88,43,4.97,scattered clouds
192,Koungou,YT,-12.7336,45.2042,80.31,83,0,6.91,clear sky
193,Hofn,IS,64.2539,-15.2082,23.63,61,16,5.7,few clouds
194,Takaka,NZ,-40.85,172.8,69.98,96,100,7.52,overcast clouds
195,Ponta Do Sol,PT,32.6667,-17.1,67.01,72,48,11.81,scattered clouds
196,Kloulklubed,PW,7.0419,134.2556,81.1,82,100,16.91,moderate rain
197,Byron Bay,AU,-28.65,153.6167,83.05,86,100,3.74,overcast clouds
198,Tilichiki,RU,60.4667,166.1,15.42,93,100,9.08,overcast clouds
199,Itupeva,BR,-23.1531,-47.0578,75.4,88,75,4.61,light rain
200,Puerto Ayora,EC,-0.7393,-90.3518,80.56,91,76,5.01,broken clouds
201,Camacari,BR,-12.6975,-38.3242,83.97,72,5,7.43,clear sky
202,Malangwa,NP,26.8568,85.5581,54.48,73,3,1.77,clear sky
203,Shitanjing,CN,39.2342,106.3439,13.33,23,4,2.37,clear sky
204,Gwadar,PK,25.1216,62.3254,72.39,72,0,14.07,clear sky
205,Ribeira Grande,PT,38.5167,-28.7,59.4,77,20,10.36,few clouds
206,Kidal,ML,18.4411,1.4078,69.69,11,67,7.05,broken clouds
207,Ucluelet,CA,48.9329,-125.5528,43.09,81,84,1.01,broken clouds
208,Sibu,MY,2.3,111.8167,73.71,100,40,0.0,scattered clouds
209,Matagami,CA,49.7502,-77.6328,24.91,68,100,26.46,snow
210,Samarai,PG,-10.6167,150.6667,80.87,79,99,12.24,light rain
211,Markdorf,DE,47.7167,9.4,37.67,91,100,18.01,overcast clouds
212,Vardo,NO,70.3705,31.1107,19.38,93,20,8.05,few clouds
213,Chifeng,CN,42.2683,118.9636,9.39,54,0,6.33,clear sky
214,Tomakomai,JP,42.6369,141.6033,22.17,100,75,3.44,broken clouds
215,Manaus,BR,-3.1019,-60.025,86.49,70,40,6.91,scattered clouds
